CODIGO_CUPS,DESCRIPCION,TARIFA_COP,UNIDAD,MODALIDAD,NOTAS
890101,Consulta medicina general primera vez,55000,consulta,evento,Tarifa SOAT vigencia 2026
890102,Consulta medicina general control,42000,consulta,evento,
890201,Consulta medicina especializada primera vez,95000,consulta,evento,
890202,Consulta medicina especializada control,72000,consulta,evento,
890203,Consulta medicina subespecializada,125000,consulta,evento,
890301,Interconsulta especializada hospitalaria,110000,consulta,evento,
U00101,Atencion inicial urgencias triage 1-2,245000,evento,evento,
U00102,Atencion inicial urgencias triage 3,148000,evento,evento,
U00103,Atencion inicial urgencias triage 4-5,82000,evento,evento,
S10101,Estancia hospitalizacion general dia,240000,dia,evento,
S10102,Estancia hospitalizacion bipersonal dia,320000,dia,evento,
S10103,Estancia hospitalizacion individual dia,445000,dia,evento,
S10201,Estancia UCI adulto dia,1680000,dia,evento,
S10202,Estancia UCI pediatrica dia,1820000,dia,evento,
S10203,Estancia UCI neonatal dia,1950000,dia,evento,
S10301,Estancia UCE dia,720000,dia,evento,
S20101,Derechos sala cirugia menor,580000,evento,evento,
S20102,Derechos sala cirugia (1-2h),1180000,evento,evento,
S20103,Derechos sala cirugia (2-4h),1850000,evento,evento,
S20104,Derechos sala cirugia (>4h),2780000,evento,evento,
S20201,Materiales quirurgicos fungibles,285000,evento,evento,
881201,Ecocardiograma transtoracico,365000,estudio,evento,
881202,Ecocardiograma transtoracico con Doppler,445000,estudio,evento,
881301,Ecocardiograma stress con dobutamina,680000,estudio,evento,
881345,Ecocardiograma transesofagico con contraste,995000,estudio,evento,
892700,Prueba de esfuerzo en banda,280000,estudio,evento,
892701,Prueba de esfuerzo con imagen SPECT,1450000,estudio,evento,
892900,Holter ritmo 24 horas,155000,estudio,evento,
892901,Holter ritmo 48 horas,225000,estudio,evento,
892902,MAPA presion arterial 24 horas,170000,estudio,evento,
892100,Electrocardiograma 12 derivaciones,38000,estudio,evento,
882100,Cateterismo cardiaco derecho diagnostico,1620000,evento,evento,
882101,Cateterismo cardiaco izquierdo diagnostico,2080000,evento,evento,
882200,Coronariografia diagnostica,2240000,evento,evento,
882301,Angioplastia coronaria percutanea,5120000,evento,evento,
882302,ACP con stent convencional,7380000,evento,evento,
882303,ACP con stent farmacoactivo,10820000,evento,evento,
882401,Implante marcapasos unicameral,6850000,evento,evento,Sin dispositivo
882402,Implante marcapasos bicameral,8100000,evento,evento,Sin dispositivo
882403,Implante CDI,12450000,evento,evento,Sin dispositivo
882501,Ablacion radiofrecuencia de arritmia,7850000,evento,evento,
D08001,Hemograma completo automatizado,24000,estudio,evento,
D08002,Quimica sanguinea panel basico,36000,estudio,evento,
D08003,Radiografia torax PA y lateral,54000,estudio,evento,
D08004,TAC torax simple,335000,estudio,evento,
D08005,TAC torax contrastado,425000,estudio,evento,
D08006,Resonancia magnetica cardiaca,1095000,estudio,evento,
D08007,Angio-TAC coronario,720000,estudio,evento,
D08020,BNP plasmatico,82000,estudio,evento,
D08021,NT-proBNP plasmatico,100000,estudio,evento,
D08022,Troponina I ultra-sensible,74000,estudio,evento,
D08023,Dimero D,54000,estudio,evento,
D08024,Gases arteriales,50000,estudio,evento,
D08030,Hemocultivo aerobio y anaerobio par,95000,estudio,evento,
D08031,Urocultivo con antibiograma,59000,estudio,evento,
H30101,Honorarios medicos cirugia grupo 1,1050000,evento,evento,
H30102,Honorarios medicos cirugia grupo 2,2175000,evento,evento,
H30103,Honorarios medicos cirugia grupo 3,3280000,evento,evento,
H30104,Honorarios medicos cirugia grupo 4,4760000,evento,evento,
H30105,Honorarios medicos cirugia grupo 5,6320000,evento,evento,
H30106,Honorarios medicos cirugia cardiaca abierta,10080000,evento,evento,
H30201,Honorarios anestesiologia grupo 1-2,835000,evento,evento,
H30202,Honorarios anestesiologia grupo 3-4,1420000,evento,evento,
H30203,Honorarios anestesiologia cirugia cardiaca,2850000,evento,evento,
M00101,Fentanilo ampolla 0.5mg/10ml,12800,unidad,evento,
M00201,Morfina ampolla 10mg/ml,7200,unidad,evento,
M00301,Acetaminofen tableta 500mg,380,unidad,evento,
M00401,Ceftriaxona polvo 1g,10100,vial,evento,
M00501,Enoxaparina jeringa 40mg,23700,jeringa,evento,
M00601,Furosemida ampolla 20mg/2ml,1100,unidad,evento,
M00602,Furosemida tableta 40mg,160,unidad,evento,
M00701,Enalapril tableta 10mg,210,unidad,evento,
M00801,Carvedilol tableta 6.25mg,510,unidad,evento,
M00803,Metoprolol tartrato tableta 50mg,245,unidad,evento,
M00901,Atorvastatina tableta 40mg,455,unidad,evento,
M01001,Acido acetilsalicilico tableta 100mg,85,unidad,evento,
M01002,Clopidogrel tableta 75mg,745,unidad,evento,
M01101,Dapagliflozina tableta 10mg,2150,unidad,evento,
M01301,Amiodarona ampolla 150mg/3ml,5450,unidad,evento,
M01401,Nitroglicerina ampolla 5mg/1ml,7450,unidad,evento,
M01402,Nitroprusiato ampolla 50mg,11250,vial,evento,
M01601,Labetalol ampolla 100mg/20ml,25050,unidad,evento,
M01701,Sulfato magnesio ampolla 2g/10ml,10950,unidad,evento,
M01801,Dexametasona ampolla 8mg/2ml,4250,unidad,evento,
M01901,Oxitocina ampolla 10UI/1ml,5450,unidad,evento,
M01904,Acido tranexamico ampolla 500mg,7200,unidad,evento,
