CODIGO_CUPS,DESCRIPCION,TARIFA_COP,UNIDAD,MODALIDAD,NOTAS
890101,Consulta medicina general primera vez,48000,consulta,evento,ISS 2001 actualizado IPC 2026
890102,Consulta medicina general control,36000,consulta,evento,
890201,Consulta medicina especializada primera vez,82000,consulta,evento,
890202,Consulta medicina especializada control,62000,consulta,evento,
890203,Consulta medicina subespecializada,108000,consulta,evento,
890301,Interconsulta especializada hospitalaria,95000,consulta,evento,
U00101,Atencion inicial urgencias triage 1-2,210000,evento,evento,
U00102,Atencion inicial urgencias triage 3,128000,evento,evento,
U00103,Atencion inicial urgencias triage 4-5,72000,evento,evento,
S10101,Estancia hospitalizacion general dia,205000,dia,evento,
S10102,Estancia hospitalizacion bipersonal dia,275000,dia,evento,
S10103,Estancia hospitalizacion individual dia,385000,dia,evento,
S10201,Estancia UCI adulto dia,1445000,dia,evento,
S10202,Estancia UCI pediatrica dia,1565000,dia,evento,
S10203,Estancia UCI neonatal dia,1680000,dia,evento,
S10301,Estancia UCE dia,620000,dia,evento,
S20101,Derechos sala cirugia menor,500000,evento,evento,
S20102,Derechos sala cirugia (1-2h),1020000,evento,evento,
S20103,Derechos sala cirugia (2-4h),1600000,evento,evento,
S20104,Derechos sala cirugia (>4h),2395000,evento,evento,
S20201,Materiales quirurgicos fungibles,245000,evento,evento,
881201,Ecocardiograma transtoracico,315000,estudio,evento,
881202,Ecocardiograma transtoracico con Doppler,385000,estudio,evento,
881301,Ecocardiograma stress con dobutamina,585000,estudio,evento,
881345,Ecocardiograma transesofagico con contraste,860000,estudio,evento,
892700,Prueba de esfuerzo en banda,240000,estudio,evento,
892701,Prueba de esfuerzo con imagen SPECT,1250000,estudio,evento,
892900,Holter ritmo 24 horas,135000,estudio,evento,
892901,Holter ritmo 48 horas,195000,estudio,evento,
892902,MAPA presion arterial 24 horas,145000,estudio,evento,
892100,Electrocardiograma 12 derivaciones,32000,estudio,evento,
882100,Cateterismo cardiaco derecho diagnostico,1395000,evento,evento,
882101,Cateterismo cardiaco izquierdo diagnostico,1795000,evento,evento,
882200,Coronariografia diagnostica,1930000,evento,evento,
882301,Angioplastia coronaria percutanea,4420000,evento,evento,
882302,ACP con stent convencional,6365000,evento,evento,
882303,ACP con stent farmacoactivo,9330000,evento,evento,
882401,Implante marcapasos unicameral,5920000,evento,evento,Sin dispositivo
882402,Implante marcapasos bicameral,6990000,evento,evento,Sin dispositivo
882403,Implante CDI,10735000,evento,evento,Sin dispositivo
882501,Ablacion radiofrecuencia de arritmia,6770000,evento,evento,
D08001,Hemograma completo automatizado,21000,estudio,evento,
D08002,Quimica sanguinea panel basico,32000,estudio,evento,
D08003,Radiografia torax PA y lateral,47000,estudio,evento,
D08004,TAC torax simple,290000,estudio,evento,
D08005,TAC torax contrastado,365000,estudio,evento,
D08006,Resonancia magnetica cardiaca,945000,estudio,evento,
D08007,Angio-TAC coronario,620000,estudio,evento,
D08020,BNP plasmatico,71000,estudio,evento,
D08021,NT-proBNP plasmatico,87000,estudio,evento,
D08022,Troponina I ultra-sensible,64000,estudio,evento,
D08023,Dimero D,47000,estudio,evento,
D08024,Gases arteriales,43000,estudio,evento,
D08030,Hemocultivo aerobio y anaerobio par,83000,estudio,evento,
D08031,Urocultivo con antibiograma,51000,estudio,evento,
H30101,Honorarios medicos cirugia grupo 1,905000,evento,evento,
H30102,Honorarios medicos cirugia grupo 2,1875000,evento,evento,
H30103,Honorarios medicos cirugia grupo 3,2830000,evento,evento,
H30104,Honorarios medicos cirugia grupo 4,4100000,evento,evento,
H30105,Honorarios medicos cirugia grupo 5,5445000,evento,evento,
H30106,Honorarios medicos cirugia cardiaca abierta,8690000,evento,evento,
H30201,Honorarios anestesiologia grupo 1-2,720000,evento,evento,
H30202,Honorarios anestesiologia grupo 3-4,1225000,evento,evento,
H30203,Honorarios anestesiologia cirugia cardiaca,2455000,evento,evento,
M00101,Fentanilo ampolla 0.5mg/10ml,11000,unidad,evento,
M00201,Morfina ampolla 10mg/ml,6200,unidad,evento,
M00301,Acetaminofen tableta 500mg,325,unidad,evento,
M00401,Ceftriaxona polvo 1g,8700,vial,evento,
M00501,Enoxaparina jeringa 40mg,20400,jeringa,evento,
M00601,Furosemida ampolla 20mg/2ml,950,unidad,evento,
M00701,Enalapril tableta 10mg,180,unidad,evento,
M00801,Carvedilol tableta 6.25mg,440,unidad,evento,
M00803,Metoprolol tartrato tableta 50mg,210,unidad,evento,
M00901,Atorvastatina tableta 40mg,390,unidad,evento,
M01001,Acido acetilsalicilico tableta 100mg,72,unidad,evento,
M01002,Clopidogrel tableta 75mg,640,unidad,evento,
M01301,Amiodarona ampolla 150mg/3ml,4690,unidad,evento,
M01401,Nitroglicerina ampolla 5mg/1ml,6420,unidad,evento,
M01402,Nitroprusiato ampolla 50mg,9680,vial,evento,
M01601,Labetalol ampolla 100mg/20ml,21560,unidad,evento,
M01701,Sulfato magnesio ampolla 2g/10ml,9450,unidad,evento,
M01801,Dexametasona ampolla 8mg/2ml,3660,unidad,evento,
M01901,Oxitocina ampolla 10UI/1ml,4690,unidad,evento,
M01904,Acido tranexamico ampolla 500mg,6200,unidad,evento,
